mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Richard Holden,North West Durham CC,30570.00,Standard non-London area budget,24499.60,6070.40,236170.00,Standard non-London area budget,183055.15,53114.85,26840.00,Standard budget for renting a property in the London area,23447.22,3392.78,14342.67,0.00,4813
Richard Thomson,Gordon CC,30570.00,Standard non-London area budget,18263.36,12306.64,236170.00,Standard non-London area budget,214892.75,21277.25,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",32676.12,6403.88,24858.20,0.00,4796
Rishi Sunak,Richmond (Yorks) CC,30570.00,Standard non-London area budget,0.00,30570.00,236170.00,Standard non-London area budget,148145.14,88024.86,0.00,,0.00,0.00,0.00,0.00,4483
Rob Butler,Aylesbury CC,30570.00,Standard non-London area budget,12329.66,18240.34,236170.00,Standard non-London area budget,193491.74,42678.26,19090.00,Standard budget for renting a property outside the London area,13170.39,5919.61,5571.10,912.15,4745
Rob Roberts,Delyn CC,30570.00,Standard non-London area budget,19668.39,10901.61,236170.00,Standard non-London area budget,172395.59,63774.41,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,11013.25,0.00,4810
Robbie Moore,Keighley CC,30570.00,Standard non-London area budget,27243.26,3326.74,236170.00,Standard non-London area budget,223079.33,13090.67,26840.00,Standard budget for renting a property in the London area,23731.98,3108.02,16594.82,0.00,4861
Robert Buckland,South Swindon CC,30570.00,Standard non-London area budget,28433.30,2136.70,236170.00,Standard non-London area budget,215940.77,20229.23,26840.00,Standard budget for renting a property in the London area,16314.27,10525.73,2837.88,0.00,4106
Robert Courts,Witney CC,30570.00,Standard non-London area budget,11329.32,19240.68,236170.00,Standard non-London area budget,204010.20,32159.80,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",27272.26,11807.74,7658.27,0.00,4589
Robert Goodwill,Scarborough and Whitby CC,30570.00,Standard non-London area budget,18729.40,11840.60,236170.00,Standard non-London area budget,178739.65,57430.35,26840.00,Standard budget for renting a property in the London area,24900.15,1939.85,9754.24,912.15,1562
Robert Halfon,Harlow CC,33840.00,Standard London area budget,19542.29,14297.71,252870.00,Standard London area budget,232502.04,20367.96,0.00,,0.00,0.00,701.63,0.00,3985
Robert Jenrick,Newark CC,30570.00,Standard non-London area budget,21780.57,8789.43,236170.00,Standard non-London area budget,206627.13,29542.87,37450.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of three dependants",23997.85,13452.15,2914.54,0.00,4320
Robert Largan,High Peak CC,30570.00,Standard non-London area budget,30411.66,158.34,236170.00,Standard non-London area budget,210155.10,26014.90,26840.00,Standard budget for renting a property in the London area,24771.34,2068.66,20472.00,0.00,4852
Robert Syms,Poole BC,30570.00,Standard non-London area budget,16272.16,14297.84,236170.00,Standard non-London area budget,150104.84,86065.16,26840.00,Standard budget for renting a property in the London area,26550.00,290.00,4682.00,0.00,245
Robin Millar,Aberconwy CC,30570.00,Standard non-London area budget,21990.94,8579.06,236170.00,Standard non-London area budget,222999.87,13170.13,26840.00,Standard budget for renting a property in the London area,24887.58,1952.42,16667.04,6492.00,4746
Robin Walker,Worcester BC,30570.00,Standard non-London area budget,8310.49,22259.51,236170.00,Standard non-London area budget,165546.85,70623.15,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",13090.00,18240.00,3894.74,0.00,4091
Roger Gale,North Thanet CC,30570.00,Standard non-London area budget,24828.05,5741.95,236170.00,Standard non-London area budget,187404.65,48765.35,26840.00,Standard budget for renting a property in the London area,7999.61,18840.39,7075.51,0.00,87
Ronnie Cowan,Inverclyde CC,30570.00,Standard non-London area budget,27305.73,3264.27,236170.00,Standard non-London area budget,211228.39,24941.61,26840.00,Standard budget for renting a property in the London area,14159.98,12680.02,27201.36,0.00,4465
Rosena Allin-Khan,Tooting BC,33840.00,Standard London area budget,32579.76,1260.24,252870.00,Standard London area budget,250752.39,2117.61,0.00,,0.00,0.00,0.00,0.00,4573
Rosie Duffield,Canterbury CC,30570.00,Standard non-London area budget,27655.21,2914.79,236170.00,Standard non-London area budget,200026.84,36143.16,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,3868.90,0.00,4616
Rosie Winterton,Doncaster Central BC,30570.00,Standard non-London area budget,22239.85,8330.15,236170.00,Standard non-London area budget,188284.81,47885.19,22244.86,"Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities) until 21 June 2023, and for renting a property in the London area from 22 June 2023",20956.33,1288.53,7123.96,3231.77,390
Royston Smith,"Southampton, Itchen BC",30570.00,Standard non-London area budget,9820.72,20749.28,236170.00,Standard non-London area budget,218349.45,17820.55,26840.00,Standard budget for renting a property in the London area,22139.75,4700.25,4983.52,0.00,4478
Rupa Huq,Ealing Central and Acton BC,33840.00,Standard London area budget,29251.07,4588.93,252870.00,Standard London area budget,166435.65,86434.35,0.00,,0.00,0.00,244.31,912.15,4511
Rushanara Ali,Bethnal Green and Bow BC,33840.00,Standard London area budget,30557.88,3282.12,252870.00,Standard London area budget,247464.56,5405.44,0.00,,0.00,0.00,380.48,0.00,4138
Ruth Cadbury,Brentford and Isleworth BC,33840.00,Standard London area budget,25050.47,8789.53,252870.00,Standard London area budget,252847.34,22.66,0.00,,0.00,0.00,1081.08,0.00,4389
Ruth Edwards,Rushcliffe CC,30570.00,Standard non-London area budget,22598.27,7971.73,236170.00,Standard non-London area budget,233336.67,2833.33,19090.00,Standard budget for renting a property outside the London area,18575.68,514.32,8342.56,0.00,4808
Ruth Jones,Newport West CC,30570.00,Standard non-London area budget,26638.53,3931.47,236170.00,Standard non-London area budget,231416.75,4753.25,26840.00,Standard budget for renting a property in the London area,23585.52,3254.48,5641.26,0.00,4716
Sajid Javid,Bromsgrove CC,30570.00,Standard non-London area budget,13687.17,16882.83,236170.00,Standard non-London area budget,201078.79,35091.21,0.00,,0.00,0.00,3254.94,0.00,3945
Sally-Ann Hart,Hastings and Rye CC,30570.00,Standard non-London area budget,20255.82,10314.18,236170.00,Standard non-London area budget,177897.36,58272.64,26840.00,Standard budget for renting a property in the London area,0.00,26840.00,1180.01,0.00,4842
Sam Tarry,Ilford South BC,33840.00,Standard London area budget,33798.45,41.55,252870.00,Standard London area budget,251519.48,1350.52,0.00,,0.00,0.00,110.20,912.15,4829
Samantha Dixon,City of Chester CC,36318.38,"Standard non-London area budget, and a start-up supplement of £5,748.38",29919.16,6399.22,236170.00,Standard non-London area budget,223394.04,12775.96,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",25634.31,7325.69,9488.91,0.00,4976
Sammy Wilson,East Antrim CC,30570.00,Standard non-London area budget,30077.73,492.27,236170.00,Standard non-London area budget,162178.83,73991.17,26840.00,Standard budget for renting a property in the London area,22274.07,4565.93,28072.01,0.00,1593
Saqib Bhatti,Meriden CC,30570.00,Standard non-London area budget,24816.84,5753.16,236170.00,Standard non-London area budget,158523.84,77646.16,37658.69,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant from 25 June 2023",25892.85,11765.84,9219.34,0.00,4818
Sara Britcliffe,Hyndburn BC,30570.00,Standard non-London area budget,24902.24,5667.76,236170.00,Standard non-London area budget,189757.59,46412.41,26840.00,Standard budget for renting a property in the London area,17871.30,8968.70,8044.85,0.00,4838
Sarah Atherton,Wrexham CC,30570.00,Standard non-London area budget,26995.44,3574.56,236170.00,Standard non-London area budget,192517.82,43652.18,26840.00,Standard budget for renting a property in the London area,23904.27,2935.73,12831.04,0.00,4855
Sarah Champion,Rotherham BC,30570.00,Standard non-London area budget,24044.53,6525.47,236170.00,Standard non-London area budget,190245.60,45924.40,26840.00,Standard budget for renting a property in the London area,25624.96,1215.04,10220.72,0.00,4267
Sarah Dines,Derbyshire Dales CC,30570.00,Standard non-London area budget,27757.86,2812.14,236170.00,Standard non-London area budget,218709.74,17460.26,19090.00,Standard budget for renting a property outside the London area,17831.23,1258.77,11605.10,0.00,4816
Sarah Dyke,Somerton and Frome CC,27298.77,"Standard non-London area budget from 21 July 2023, and a start-up supplement of £6,000",18617.69,8681.08,164544.67,Standard non-London area budget from 21 July 2023,146885.76,17658.91,18700.00,Standard budget for renting a property in the London area from 21 July 2023,10709.04,7990.96,4077.28,0.00,4995
Sarah Edwards,Tamworth CC,19698.03,"Standard non-London area budget from 20 October 2023, and a start-up supplement of £6,000",18288.43,1409.60,105824.81,Standard non-London area budget from 20 October 2023,57408.76,48416.05,12026.67,Standard budget for renting a property in the London area from 20 October 2023,5625.28,6401.39,4093.57,0.00,5001
Sarah Green,Chesham and Amersham CC,30570.00,Standard non-London area budget,26930.67,3639.33,236170.00,Standard non-London area budget,211863.47,24306.53,26840.00,Standard budget for renting a property in the London area,10270.00,16570.00,3042.82,0.00,4918
Sarah Jones,Croydon Central BC,33840.00,Standard London area budget,33840.00,0.00,252870.00,Standard London area budget,252840.33,29.67,0.00,,0.00,0.00,630.59,450.00,4631
Sarah Olney,Richmond Park BC,33840.00,Standard London area budget,31033.26,2806.74,252870.00,Standard London area budget,250997.77,1872.23,0.00,,0.00,0.00,425.65,0.00,4591
Sarah Owen,Luton North BC,30570.00,Standard non-London area budget,15586.08,14983.92,236170.00,Standard non-London area budget,177814.51,58355.49,26840.00,Standard budget for renting a property in the London area,3965.60,22874.40,4146.02,0.00,4777
Scott Benton,Blackpool South BC,30570.00,Standard non-London area budget,25744.90,4825.10,236170.00,Standard non-London area budget,211467.24,24702.76,24002.57,"Standard budget for renting a property in the London area until 18 November 2023, and outside the London area from 19 November 2023",16013.19,7989.38,8865.61,0.00,4793
Scott Mann,North Cornwall CC,30570.00,Standard non-London area budget,28505.11,2064.89,236170.00,Standard non-London area budget,202121.86,34048.14,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",29348.21,3611.79,15760.26,0.00,4496
Seema Malhotra,Feltham and Heston BC,33840.00,Standard London area budget,33375.75,464.25,252870.00,Standard London area budget,252574.49,295.51,0.00,,0.00,0.00,3293.63,0.00,4253
Selaine Saxby,North Devon CC,30570.00,Standard non-London area budget,23257.64,7312.36,236170.00,Standard non-London area budget,218590.09,17579.91,26840.00,Standard budget for renting a property in the London area,25941.98,898.02,10178.74,912.15,4863
Shabana Mahmood,"Birmingham, Ladywood BC",30570.00,Standard non-London area budget,28597.13,1972.87,236170.00,Standard non-London area budget,206997.22,29172.78,26840.00,Standard budget for renting a property in the London area,22944.08,3895.92,4944.40,0.00,3914
Shailesh Vara,North West Cambridgeshire CC,30570.00,Standard non-London area budget,10360.05,20209.95,236170.00,Standard non-London area budget,130147.45,106022.55,0.00,,0.00,0.00,3591.33,0.00,1496
Sharon Hodgson,Washington and Sunderland West BC,30570.00,Standard non-London area budget,21797.71,8772.29,236170.00,Standard non-London area budget,220202.40,15967.60,26840.00,Standard budget for renting a property in the London area,23112.17,3727.83,10198.69,0.00,1521
Shaun Bailey,West Bromwich West BC,30570.00,Standard non-London area budget,28629.43,1940.57,236170.00,Standard non-London area budget,206831.04,29338.96,26840.00,Standard budget for renting a property in the London area,24300.96,2539.04,10991.03,1600.00,4757
Sheryll Murray,South East Cornwall CC,30570.00,Standard non-London area budget,18927.82,11642.18,236170.00,Standard non-London area budget,155195.12,80974.88,26840.00,Standard budget for renting a property in the London area,25188.21,1651.79,9727.77,0.00,4100
Simon Baynes,Clwyd South CC,30570.00,Standard non-London area budget,21183.43,9386.57,236170.00,Standard non-London area budget,227821.75,8348.25,26840.00,Standard budget for renting a property in the London area,25776.59,1063.41,10859.89,0.00,4800
Simon Clarke,Middlesbrough South and East Cleveland CC,30570.00,Standard non-London area budget,26069.87,4500.13,236170.00,Standard non-London area budget,206219.30,29950.70,32388.28,"Standard budget for renting a property in the London area until 4 March 2024, and outside the London area from 5 March 2024, with an uplift to cover the cost of one dependant",30740.00,1648.28,2732.02,912.15,4655
Simon Fell,Barrow and Furness CC,30570.00,Standard non-London area budget,29462.59,1107.41,236170.00,Standard non-London area budget,193503.74,42666.26,37450.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of three dependants",27985.07,9464.93,22461.35,0.00,4744
Simon Hart,Carmarthen West and South Pembrokeshire CC,30570.00,Standard non-London area budget,16014.84,14555.16,236170.00,Standard non-London area budget,195457.88,40712.12,26840.00,Standard budget for renting a property in the London area,24644.01,2195.99,6016.80,0.00,3944
Simon Hoare,North Dorset CC,30570.00,Standard non-London area budget,20492.24,10077.76,236170.00,Standard non-London area budget,179798.04,56371.96,37450.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of three dependants",33714.25,3735.75,4455.14,4269.00,4494
Simon Jupp,East Devon CC,30570.00,Standard non-London area budget,28532.03,2037.97,236170.00,Standard non-London area budget,205885.37,30284.63,26840.00,Standard budget for renting a property in the London area,16231.97,10608.03,6028.73,0.00,4862
Simon Lightwood,Wakefield CC,36570.00,"Standard non-London area budget, and a start-up supplement of £6,000",26577.78,9992.22,236170.00,Standard non-London area budget,195859.74,40310.26,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",30789.79,8290.21,12302.12,2302.15,4943
Siobhain McDonagh,Mitcham and Morden BC,33840.00,Standard London area budget,33474.63,365.37,252870.00,Standard London area budget,252576.39,293.61,0.00,,0.00,0.00,0.00,0.00,193
Siobhan Baillie,Stroud CC,30570.00,Standard non-London area budget,28047.05,2522.95,236170.00,Standard non-London area budget,209227.59,26942.41,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",17303.65,7906.35,2844.06,0.00,4847
Stella Creasy,Walthamstow BC,33840.00,Standard London area budget,29274.58,4565.42,252870.00,Standard London area budget,243932.33,8937.67,0.00,,0.00,0.00,215.50,0.00,4088
Stephanie Peacock,Barnsley East CC,30570.00,Standard non-London area budget,24095.29,6474.71,236170.00,Standard non-London area budget,221909.86,14260.14,26840.00,Standard budget for renting a property in the London area,22975.39,3864.61,6808.23,0.00,4607
Stephen Barclay,North East Cambridgeshire CC,30570.00,Standard non-London area budget,14512.65,16057.35,236170.00,Standard non-London area budget,140438.04,95731.96,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",20509.98,18570.02,1715.63,0.00,4095
Stephen Crabb,Preseli Pembrokeshire CC,30570.00,Standard non-London area budget,19858.26,10711.74,236170.00,Standard non-London area budget,191264.88,44905.12,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,17349.96,0.00,1554
Stephen Doughty,Cardiff South and Penarth BC,30570.00,Standard non-London area budget,18086.15,12483.85,236170.00,Standard non-London area budget,233904.16,2265.84,26840.00,Standard budget for renting a property in the London area,13526.72,13313.28,10420.61,247.04,4264
Stephen Farry,North Down CC,30570.00,Standard non-London area budget,22606.02,7963.98,236170.00,Standard non-London area budget,214784.20,21385.80,26840.00,Standard budget for renting a property in the London area,14013.48,12826.52,17712.12,0.00,4856
Stephen Flynn,Aberdeen South BC,30570.00,Standard non-London area budget,15341.31,15228.69,236170.00,Standard non-London area budget,206814.36,29355.64,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",35482.24,3597.76,31181.15,0.00,4735
Stephen Hammond,Wimbledon BC,33840.00,Standard London area budget,7027.36,26812.64,252870.00,Standard London area budget,198596.70,54273.30,0.00,,0.00,0.00,0.00,0.00,1585
Stephen Kinnock,Aberavon CC,30570.00,Standard non-London area budget,22273.45,8296.55,236170.00,Standard non-London area budget,235783.06,386.94,26840.00,Standard budget for renting a property in the London area,26832.00,8.00,7153.57,0.00,4359
Stephen McCabe,"Birmingham, Selly Oak BC",30570.00,Standard non-London area budget,25027.04,5542.96,236170.00,Standard non-London area budget,148713.13,87456.87,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),3321.71,3008.29,4416.00,912.15,298
Stephen McPartland,Stevenage CC,30570.00,Standard non-London area budget,14920.46,15649.54,236170.00,Standard non-London area budget,202351.44,33818.56,26840.00,Standard budget for renting a property in the London area,13136.40,13703.60,30.00,0.00,4093
Stephen Metcalfe,South Basildon and East Thurrock BC,30570.00,Standard non-London area budget,14448.70,16121.30,236170.00,Standard non-London area budget,182672.78,53497.22,0.00,,0.00,0.00,495.09,0.00,4092
Stephen Morgan,Portsmouth South BC,30570.00,Standard non-London area budget,30570.00,0.00,236170.00,Standard non-London area budget,236170.00,0.00,26840.00,Standard budget for renting a property in the London area,25095.93,1744.07,6528.51,0.00,4653
Stephen Timms,East Ham BC,33840.00,Standard London area budget,26724.86,7115.14,252870.00,Standard London area budget,228666.58,24203.42,0.00,,0.00,0.00,808.90,0.00,163
Steve Baker,Wycombe CC,30570.00,Standard non-London area budget,11041.15,19528.85,236170.00,Standard non-London area budget,226134.64,10035.36,26840.00,Standard budget for renting a property in the London area,18403.45,8436.55,113.87,0.00,4064
Steve Brine,Winchester CC,30570.00,Standard non-London area budget,29079.17,1490.83,236170.00,Standard non-London area budget,209368.89,26801.11,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",14300.60,24779.40,8422.67,0.00,4067
Steve Double,St Austell and Newquay CC,30570.00,Standard non-London area budget,25302.66,5267.34,236170.00,Standard non-London area budget,213252.44,22917.56,26840.00,Standard budget for renting a property in the London area,26075.06,764.94,12323.79,0.00,4452
Steve Reed,Croydon North BC,33840.00,Standard London area budget,24536.35,9303.65,252870.00,Standard London area budget,234581.93,18288.07,0.00,,0.00,0.00,444.26,0.00,4268
Steve Tuckwell,Uxbridge and South Ruislip BC,29577.05,"Standard London area budget from 21 July 2023, and a start-up supplement of £6,000",12372.65,17204.40,176179.92,Standard London area budget from 21 July 2023,127639.80,48540.12,0.00,,0.00,0.00,0.00,0.00,4994
Steven Bonnar,"Coatbridge, Chryston and Bellshill BC",30570.00,Standard non-London area budget,30570.00,0.00,236170.00,Standard non-London area budget,216979.82,19190.18,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",31920.00,1040.00,44425.49,0.00,4748
Stewart Hosie,Dundee East BC,30570.00,Standard non-London area budget,23371.59,7198.41,236170.00,Standard non-London area budget,205563.43,30606.57,26840.00,Standard budget for renting a property in the London area,25528.88,1311.12,34959.20,0.00,1514
Stewart McDonald,Glasgow South BC,30570.00,Standard non-London area budget,14603.98,15966.02,236170.00,Standard non-London area budget,219572.22,16597.78,26840.00,Standard budget for renting a property in the London area,26191.17,648.83,41134.10,0.00,4461
Stuart Anderson,Wolverhampton South West BC,30570.00,Standard non-London area budget,16206.50,14363.50,236170.00,Standard non-London area budget,217053.00,19117.00,37450.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of three dependants",30338.94,7111.06,5445.33,0.00,4742
Stuart Andrew,Pudsey BC,30570.00,Standard non-London area budget,16651.44,13918.56,236170.00,Standard non-London area budget,209481.03,26688.97,26840.00,Standard budget for renting a property in the London area,26839.90,0.10,7210.70,0.00,4032
Stuart McDonald,"Cumbernauld, Kilsyth and Kirkintilloch East CC",30570.00,Standard non-London area budget,29228.89,1341.11,236170.00,Standard non-London area budget,231188.22,4981.78,26840.00,Standard budget for renting a property in the London area,26079.49,760.51,19905.05,0.00,4393
Suella Braverman,Fareham CC,30570.00,Standard non-London area budget,12295.27,18274.73,236170.00,Standard non-London area budget,157101.44,79068.56,6330.00,Standard budget for an MP who owns their property and is claiming the associated costs only (such as utilities),6305.62,24.38,729.84,912.15,4475
Suzanne Webb,Stourbridge BC,30570.00,Standard non-London area budget,27905.59,2664.41,236170.00,Standard non-London area budget,160452.17,75717.83,26840.00,Standard budget for renting a property in the London area,22738.35,4101.65,12496.95,0.00,4802
Tahir Ali,"Birmingham, Hall Green BC",30570.00,Standard non-London area budget,31172.92,-602.92,236170.00,Standard non-London area budget,188730.31,47439.69,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",10663.30,22296.70,10862.07,0.00,4747
Taiwo Owatemi,Coventry North West BC,30570.00,Standard non-London area budget,23994.89,6575.11,236170.00,Standard non-London area budget,186908.75,49261.25,26840.00,Standard budget for renting a property in the London area,23400.00,3440.00,12697.23,0.00,4779
Tanmanjeet Singh Dhesi,Slough BC,33840.00,Standard London area budget,20233.60,13606.40,252870.00,Standard London area budget,248324.83,4545.17,0.00,,0.00,0.00,3496.26,912.15,4638
Thangam Debbonaire,Bristol West BC,30570.00,Standard non-London area budget,29751.21,818.79,236170.00,Standard non-London area budget,235933.07,236.93,26840.00,Standard budget for renting a property in the London area,23286.81,3553.19,9326.41,0.00,4433
Theo Clarke,Stafford CC,30570.00,Standard non-London area budget,29142.91,1427.09,236170.00,Standard non-London area budget,179976.58,56193.42,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",19645.94,5564.06,12422.75,52.49,4819
Theresa May,Maidenhead CC,30570.00,Standard non-London area budget,5203.06,25366.94,236170.00,Standard non-London area budget,147071.17,89098.83,0.00,,0.00,0.00,19.27,0.00,8
Theresa Villiers,Chipping Barnet BC,33840.00,Standard London area budget,13135.02,20704.98,252870.00,Standard London area budget,205337.88,47532.12,0.00,,0.00,0.00,311.40,0.00,1500
Therese Coffey,Suffolk Coastal CC,30570.00,Standard non-London area budget,25346.83,5223.17,236170.00,Standard non-London area budget,221371.32,14798.68,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,5436.21,0.00,4098
Tim Farron,Westmorland and Lonsdale CC,30570.00,Standard non-London area budget,26489.70,4080.30,236170.00,Standard non-London area budget,230834.28,5335.72,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",17212.71,15747.29,15192.74,0.00,1591
Tim Loughton,East Worthing and Shoreham CC,30570.00,Standard non-London area budget,15238.94,15331.06,236170.00,Standard non-London area budget,194447.99,41722.01,26840.00,Standard budget for renting a property in the London area,22978.36,3861.64,4482.61,0.00,114
Tobias Ellwood,Bournemouth East BC,30570.00,Standard non-London area budget,29339.03,1230.97,236170.00,Standard non-London area budget,213908.69,22261.31,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",36082.68,2997.32,13180.08,0.00,1487
Toby Perkins,Chesterfield BC,30570.00,Standard non-London area budget,23339.24,7230.76,236170.00,Standard non-London area budget,200422.46,35747.54,39080.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of two dependants",22300.18,16779.82,14137.02,0.00,3952
Tom Hunt,Ipswich BC,30570.00,Standard non-London area budget,16024.18,14545.82,236170.00,Standard non-London area budget,220800.81,15369.19,19090.00,Standard budget for renting a property outside the London area,16123.89,2966.11,5994.14,0.00,4771
Tom Pursglove,Corby CC,30570.00,Standard non-London area budget,16514.20,14055.80,236170.00,Standard non-London area budget,184512.00,51658.00,26840.00,Standard budget for renting a property in the London area,26331.89,508.11,4312.38,0.00,4369
Tom Randall,Gedling CC,30570.00,Standard non-London area budget,21754.98,8815.02,236170.00,Standard non-London area budget,154885.74,81284.26,26840.00,Standard budget for renting a property in the London area,19702.57,7137.43,4122.02,0.00,4845
Tom Tugendhat,Tonbridge and Malling CC,30570.00,Standard non-London area budget,19801.05,10768.95,236170.00,Standard non-London area budget,211171.80,24998.20,31330.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of two dependants",30742.07,587.93,6193.08,0.00,4462
Tommy Sheppard,Edinburgh East BC,30570.00,Standard non-London area budget,28463.38,2106.62,236170.00,Standard non-London area budget,235942.43,227.57,26840.00,Standard budget for renting a property in the London area,25406.57,1433.43,15089.24,0.00,4453
Tonia Antoniazzi,Gower CC,30570.00,Standard non-London area budget,24350.36,6219.64,236170.00,Standard non-London area budget,222717.82,13452.18,26840.00,Standard budget for renting a property in the London area,23585.63,3254.37,10094.39,0.00,4623
Tony Lloyd,Rochdale CC,29400.66,Standard non-London area budget until 17 March 2024,18291.28,11109.38,227136.18,Standard non-London area budget until 17 March 2024,227055.00,81.17,25813.33,Standard budget for renting a property in the London area until 17 March 2024,20707.73,5105.60,9615.48,54169.48,450
Tracey Crouch,Chatham and Aylesford CC,30570.00,Standard non-London area budget,12015.11,18554.89,236170.00,Standard non-London area budget,189745.16,46424.84,26840.00,Standard budget for renting a property in the London area,12705.00,14135.00,174.27,0.00,3950
Trudy Harrison,Copeland CC,30570.00,Standard non-London area budget,21334.39,9235.61,236170.00,Standard non-London area budget,174158.46,62011.54,26840.00,Standard budget for renting a property in the London area,18705.40,8134.60,17333.11,0.00,4593
Tulip Siddiq,Hampstead and Kilburn BC,33840.00,Standard London area budget,21641.08,12198.92,252870.00,Standard London area budget,231284.02,21585.98,0.00,,0.00,0.00,0.00,0.00,4518
Valerie Vaz,Walsall South BC,30570.00,Standard non-London area budget,16462.43,14107.57,236170.00,Standard non-London area budget,142873.04,93296.96,19090.00,Standard budget for renting a property outside the London area,17325.02,1764.98,5032.75,262.50,4076
Vicky Ford,Chelmsford BC,30570.00,Standard non-London area budget,22650.19,7919.81,236170.00,Standard non-London area budget,218519.64,17650.36,26840.00,Standard budget for renting a property in the London area,23860.31,2979.69,3363.41,0.00,4674
Vicky Foxcroft,"Lewisham, Deptford BC",33840.00,Standard London area budget,19303.21,14536.79,252870.00,Standard London area budget,220380.53,32489.47,0.00,,0.00,0.00,0.00,0.00,4491
Victoria Atkins,Louth and Horncastle CC,30570.00,Standard non-London area budget,6636.15,23933.85,236170.00,Standard non-London area budget,184349.39,51820.61,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",15825.00,9385.00,2354.93,0.00,4399
Victoria Prentis,Banbury CC,30570.00,Standard non-London area budget,8618.25,21951.75,236170.00,Standard non-London area budget,188499.65,47670.35,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,3352.48,0.00,4401
Virendra Sharma,"Ealing, Southall BC",33840.00,Standard London area budget,28015.58,5824.42,252870.00,Standard London area budget,243680.34,9189.66,0.00,,0.00,0.00,167.10,0.00,1604
Virginia Crosbie,Ynys Môn CC,30570.00,Standard non-London area budget,16748.36,13821.64,236170.00,Standard non-London area budget,191938.54,44231.46,25210.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of one dependant",24020.33,1189.67,8739.77,3176.40,4859
Wayne David,Caerphilly CC,30570.00,Standard non-London area budget,19690.09,10879.91,236170.00,Standard non-London area budget,217604.26,18565.74,26840.00,Standard budget for renting a property in the London area,17496.79,9343.21,8200.97,0.00,1398
Wendy Chamberlain,North East Fife CC,30570.00,Standard non-London area budget,20582.06,9987.94,236170.00,Standard non-London area budget,226929.51,9240.49,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",29502.37,3457.63,11858.82,0.00,4765
Wendy Morton,Aldridge-Brownhills BC,30570.00,Standard non-London area budget,15910.36,14659.64,236170.00,Standard non-London area budget,153361.96,82808.04,19090.00,Standard budget for renting a property outside the London area,15962.12,3127.88,12577.64,0.00,4358
Wera Hobhouse,Bath BC,30570.00,Standard non-London area budget,28564.02,2005.98,236170.00,Standard non-London area budget,206121.57,30048.43,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,7134.73,0.00,4602
Wes Streeting,Ilford North BC,33840.00,Standard London area budget,31463.13,2376.87,252870.00,Standard London area budget,252834.89,35.11,0.00,,0.00,0.00,0.00,3395.01,4504
Will Quince,Colchester BC,30570.00,Standard non-London area budget,18756.01,11813.99,236170.00,Standard non-London area budget,155742.38,80427.62,32960.00,"Standard budget for renting a property in the London area, with an uplift to cover the cost of one dependant",17843.90,15116.10,2400.18,0.00,4423
William Wragg,Hazel Grove CC,30570.00,Standard non-London area budget,19670.99,10899.01,236170.00,Standard non-London area budget,234103.03,2066.97,26840.00,Standard budget for renting a property in the London area,26324.04,515.96,8506.26,0.00,4429
