mps_name,constituency,office_budget,reason_for_budget_set,office_spend,remaining_office_budget,staffing_budget,reason_for_budget_staffing_budget,staffing_spend,remaining_staffing_budget,accommodation_budget,reason_for_budget_accommodation_budget,accommodation_spend,remaining_accommodation_budget,travel_and_subsistence_uncapped,other_costs_uncapped,pid
Katherine Fletcher,South Ribble CC,30570.00,Standard non-London area budget,29030.16,1539.84,236170.00,Standard non-London area budget,234131.22,2038.78,26840.00,Standard budget for renting a property in the London area,26496.42,343.58,20360.28,30.00,4834
Keir Mather,Selby and Ainsty CC,27298.77,"Standard non-London area budget from 21 July 2023, and a start-up supplement of £6,000",19618.60,7680.17,164544.67,Standard non-London area budget from 21 July 2023,108862.87,55681.80,18700.00,Standard budget for renting a property in the London area from 21 July 2023,9545.00,9155.00,6308.76,426.00,4993
Keir Starmer,Holborn and St Pancras BC,33840.00,Standard London area budget,28423.16,5416.84,252870.00,Standard London area budget,234284.26,18585.74,0.00,,0.00,0.00,0.00,0.00,4514
Kelly Tolhurst,Rochester and Strood CC,30570.00,Standard non-London area budget,11772.95,18797.05,236170.00,Standard non-London area budget,153430.03,82739.97,26840.00,Standard budget for renting a property in the London area,8500.00,18340.00,4011.81,0.00,4487
Kemi Badenoch,Saffron Walden CC,30570.00,Standard non-London area budget,12641.06,17928.94,236170.00,Standard non-London area budget,219176.29,16993.71,37450.00,"Standard budget for renting a property outside the London area, with an uplift to cover the cost of three dependants",36244.65,1205.35,2576.33,0.00,4597
Kenny MacAskill,East Lothian CC,30570.00,Standard non-London area budget,25115.04,5454.96,236170.00,Standard non-London area budget,228659.31,7510.69,26840.00,Standard budget for renting a property in the London area,26840.00,0.00,27583.09,0.00,4772
Kerry McCarthy,Bristol East BC,30570.00,Standard non-London area budget,28849.24,1720.76,236170.00,Standard non-London area budget,234610.63,1559.37,26840.00,Standard budget for renting a property in the London area,26228.66,611.34,4583.96,0.00,1491
Kevan Jones,North Durham CC,30570.00,Standard non-London area budget,21703.57,8866.43,236170.00,Standard non-London area budget,206080.87,30089.13,26840.00,Standard budget for renting a property in the London area,22550.44,4289.56,12311.65,0.00,1438
Kevin Brennan,Cardiff West BC,30570.00,Standard non-London area budget,22957.26,7612.74,236170.00,Standard non-London area budget,221444.08,14725.92,26840.00,Standard budget for renting a property in the London area,23393.24,3446.76,6647.56,0.00,1400
Kevin Foster,Torbay BC,30570.00,Standard non-London area budget,28470.61,2099.39,236170.00,Standard non-London area budget,194404.94,41765.06,26840.00,Standard budget for renting a property in the London area,25471.68,1368.32,17221.77,0.00,4451
